sector	region	scian	empleos	formales	informales	valor_agregado_bruto	impuestos_netos_subsidios_productos	remuneracion_asalariados
servicios_financieros	fuera_sinaloa	52	639180.25	562504.5	76675.75	868712.961	-770.995818844401	201431.557741401
servicios_inmobiliarios	fuera_sinaloa	53	393342.25	196360	196982.25	2073146.157	2280.8599875746	52503.1616940445
servicios_profesionales	fuera_sinaloa	54	1751467.25	1218946	532521.25	426743.057	1852.66783989734	138963.154254679
corporativos	fuera_sinaloa	55	78594	75195.5	3398.5	126188.682	1148.92067257451	19212.4963051533
serivicios_manejo_de_residuos	fuera_sinaloa	56	1795882.25	1231401	564481.25	777685.309	1431.73230976352	483297.002732631
servicios_educativos	fuera_sinaloa	61	2834450.25	2372998	461452.25	853925.364	8523.67422870285	735978.071929968
servicios_salud	fuera_sinaloa	62	1967416.25	1531347.25	436069	536197.994	15489.8032695584	420642.921502174
servicios_recreativos	fuera_sinaloa	71	517083.25	193670.75	323412.5	113373.748	1360.90939484245	32469.4527096315
hoteleria_restaurants	fuera_sinaloa	72	4662010.25	1374110	3287900.25	568245.708	12989.473630838	116961.671661378
otros_servicios_excepto_gubernamentales	fuera_sinaloa	81	5436271.75	952771.75	4483500	437118.216	423.955825792082	161959.484708394
servicios_gubernamentales	fuera_sinaloa	93	2232229	1831984	400245	838401.398	55304.8341240069	817115.59195696
